City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kaeo,-35.1,173.7833,15.74,94,20,2.03,NZ,1675699667
84,narsaq,60.9167,-46.05,-18.02,69,58,3.35,GL,1675699575
85,puerto ayora,-0.7393,-90.3518,28.98,91,58,5.36,EC,1675699668
86,marquette,46.5333,-87.6335,-6.29,84,73,6.26,US,1675699668
87,belyy yar,53.6039,91.3903,-24.06,84,40,0.0,RU,1675699669
88,esperance,-33.8667,121.9,25.09,44,53,6.34,AU,1675699669
89,vostok,46.4856,135.8833,-21.83,99,100,2.24,RU,1675699670
90,lovozero,68.005,35.0117,-6.95,89,100,3.07,RU,1675699670
91,cap-aux-meules,47.3821,-61.8597,-3.97,93,100,2.57,CA,1675699670
92,russell,32.3502,-85.1999,16.57,62,0,0.0,US,1675699671
93,cidreira,-30.1811,-50.2056,27.02,60,20,4.75,BR,1675699533
94,petropavlovsk-kamchatskiy,53.0452,158.6483,-13.05,82,100,3.57,RU,1675699672
95,barrow,71.2906,-156.7887,-21.99,84,100,4.63,US,1675699672
96,buzuluk,52.7807,52.2635,-13.43,99,95,0.67,RU,1675699673
97,hazorasp,41.3194,61.0742,3.91,56,72,4.71,UZ,1675699673
98,lucea,18.451,-78.1736,28.92,67,1,5.07,JM,1675699178
99,yulara,-25.2406,130.9889,24.64,17,0,3.87,AU,1675699674
100,hithadhoo,-0.6,73.0833,27.59,68,41,4.56,MV,1675699674
101,laguna,38.421,-121.4238,7.28,93,0,3.6,US,1675699674
102,hobart,-42.8794,147.3294,13.92,73,75,1.54,AU,1675699675
103,grootfontein,-19.5667,18.1167,24.15,61,100,2.36,NA,1675699676
104,rawson,-43.3002,-65.1023,25.42,38,1,8.67,AR,1675699593
105,qaanaaq,77.484,-69.3632,-26.01,98,99,2.49,GL,1675699676
106,price,39.5994,-110.8107,-1.41,59,100,2.57,US,1675699677
107,arlit,18.7369,7.3853,32.88,7,15,2.71,NE,1675699677
108,lososina,48.9975,140.3106,-21.62,93,35,2.02,RU,1675699677
109,sulangan,11.1373,123.7228,26.59,82,66,6.1,PH,1675699678
110,gurupi,-11.7292,-49.0686,31.45,58,83,0.85,BR,1675699678
111,mataura,-46.1927,168.8643,15.42,56,2,4.08,NZ,1675699679
112,kodiak,57.79,-152.4072,1.73,60,0,5.14,US,1675699679
113,rocha,-34.4833,-54.3333,31.16,30,73,5.08,UY,1675699680
114,phan thiet,10.9333,108.1,22.78,83,53,2.91,VN,1675699680
115,punta arenas,-53.15,-70.9167,11.4,83,100,8.08,CL,1675699680
116,wageningen,51.9667,5.6667,7.75,77,7,1.54,NL,1675699681
117,bathsheba,13.2167,-59.5167,29.34,61,40,11.32,BB,1675699682
118,moose factory,51.2585,-80.6094,-18.23,90,69,3.43,CA,1675699683
119,tasiilaq,65.6145,-37.6368,-8.91,97,84,1.59,GL,1675699684
120,torbay,47.6666,-52.7314,5.22,93,100,8.75,CA,1675699557
121,ayna,-12.65,-73.9167,15.95,92,100,0.64,PE,1675699684
122,frontignan,43.4485,3.754,11.97,54,6,2.59,FR,1675699685
123,inhambane,-23.865,35.3833,24.67,86,100,1.96,MZ,1675699685
124,preobrazheniye,42.9019,133.9064,-7.39,72,37,2.65,RU,1675699686
125,ketchikan,55.3422,-131.6461,6.99,81,40,3.09,US,1675699687
126,safonovo,55.15,33.2167,-6.72,98,99,1.67,RU,1675699663
127,corinto,37.9407,22.9573,5.5,67,42,3.55,GR,1675699688
128,nikolskoye,59.7035,30.7861,-1.06,96,99,2.43,RU,1675699688
129,bredasdorp,-34.5322,20.0403,23.56,77,85,6.76,ZA,1675699689
130,hobyo,5.3505,48.5268,25.27,76,18,7.34,SO,1675699689
131,colquiri,-17.4167,-67.1333,4.45,76,100,2.09,BO,1675699689
132,tuni,17.35,82.55,21.36,75,19,0.64,IN,1675699690
133,mount isa,-20.7333,139.5,24.87,100,40,0.0,AU,1675699690
134,caravelas,-17.7125,-39.2481,31.4,50,0,5.57,BR,1675699691
135,geraldton,-28.7667,114.6,21.23,73,100,4.63,AU,1675699691
136,kamakwie,9.5,-12.2333,38.41,18,91,0.91,SL,1675699692
137,goderich,43.7501,-81.7165,-1.72,80,92,3.09,CA,1675699502
138,vardo,70.3705,31.1107,-1.01,86,75,12.35,NO,1675699693
139,komsomolskiy,40.4272,71.7189,6.4,81,100,2.06,UZ,1675699693
140,narrabri,-30.3167,149.7833,23.77,43,0,2.01,AU,1675699694
141,kahului,20.8947,-156.47,23.8,87,20,5.66,US,1675699651
142,mahebourg,-20.4081,57.7,27.36,80,73,5.54,MU,1675699694
143,rudiskes,54.5167,24.8333,-0.85,94,85,3.1,LT,1675699696
144,pacific grove,36.6177,-121.9166,8.06,92,0,2.06,US,1675699696
145,puerto madryn,-42.7692,-65.0385,24.18,43,3,8.67,AR,1675699482
146,biak,-0.9131,122.8766,24.71,81,100,1.71,ID,1675699697
147,gobabis,-22.45,18.9667,27.84,40,95,4.44,NA,1675699697
148,aleksandrov gay,50.147,48.5704,-11.16,95,88,3.75,RU,1675699698
149,koson,39.0375,65.585,9.18,51,32,2.04,UZ,1675699698
150,gat,31.61,34.7642,12.66,3,100,10.47,IL,1675699698
151,nantucket,41.2835,-70.0995,8.08,82,100,6.69,US,1675699699
152,senneterre,48.3835,-77.2328,-15.98,87,54,0.39,CA,1675699700
153,tura,25.5198,90.2201,15.73,44,0,1.05,IN,1675699700
154,almaznyy,48.0448,40.045,-5.71,91,100,6.34,RU,1675699701
155,husavik,66.0449,-17.3389,0.82,63,3,7.82,IS,1675699701
156,san juan del sur,11.2529,-85.8705,26.34,70,33,12.01,NI,1675699702
157,dickinson,29.4608,-95.0513,21.74,77,1,7.2,US,1675699663
158,poum,-20.2333,164.0167,27.86,81,100,6.8,NC,1675699703
159,qorveh,35.1664,47.8045,-2.7,94,90,3.32,IR,1675699534
160,ragonvalia,7.5775,-72.4757,22.35,61,92,2.71,CO,1675699704
161,shimoda,34.6667,138.95,10.1,53,100,1.68,JP,1675699704
162,saint-louis,16.3333,-15.0,30.86,10,14,5.22,SN,1675699705
163,butaritari,3.0707,172.7902,26.65,82,100,7.99,KI,1675699705
164,karwar,14.8,74.1333,24.54,71,100,3.91,IN,1675699706
165,te anau,-45.4167,167.7167,12.78,90,100,3.52,NZ,1675699706
166,ugoofaaru,5.6667,73.0,27.42,73,100,3.29,MV,1675699707
167,ulaangom,49.9811,92.0667,-23.89,94,96,1.45,MN,1675699707
168,bilma,18.6853,12.9164,26.08,9,90,5.7,NE,1675699708
169,chuy,-33.6971,-53.4616,29.38,38,31,1.6,UY,1675699665
170,pevek,69.7008,170.3133,-38.07,100,98,1.65,RU,1675699708
171,nhulunbuy,-12.2333,136.7667,26.34,89,100,0.0,AU,1675699709
172,beringovskiy,63.05,179.3167,-29.97,96,82,4.02,RU,1675699709
173,east london,-33.0153,27.9116,26.43,77,17,11.22,ZA,1675699710
174,guerrero negro,27.9769,-114.0611,14.8,69,68,10.49,MX,1675699710
175,winnemucca,40.973,-117.7357,-0.23,78,37,2.78,US,1675699454
176,rincon,32.296,-81.2354,16.98,53,0,3.6,US,1675699711
177,iberia,29.9502,-91.7507,18.36,63,0,2.57,US,1675699711
178,bauchi,10.5,10.0,34.01,10,75,4.9,NG,1675699712
179,castro,-24.7911,-50.0119,25.44,51,59,2.98,BR,1675699712
180,talnakh,69.4865,88.3972,-19.58,99,100,2.28,RU,1675699712
181,yellowknife,62.456,-114.3525,-28.58,82,27,0.89,CA,1675699713
182,karratha,-20.7377,116.8463,30.67,62,0,4.61,AU,1675699713
183,dubbo,-32.25,148.6167,19.07,48,0,4.12,AU,1675699558
184,sistranda,63.7256,8.834,7.98,79,100,14.4,NO,1675699714
185,kharp,66.8014,65.8081,-17.38,93,99,1.85,RU,1675699714
186,bahia honda,22.9036,-83.1592,26.29,67,7,2.77,CU,1675699714
187,georgetown,5.4112,100.3354,24.97,88,20,0.51,MY,1675699648
188,coquimbo,-29.9533,-71.3436,20.94,74,28,3.03,CL,1675699615
189,wajima,37.4,136.9,8.51,60,100,2.42,JP,1675699715
190,marsh harbour,26.5412,-77.0636,23.25,67,26,6.14,BS,1675699556
191,bubaque,11.2833,-15.8333,25.03,60,15,7.63,GW,1675699716
192,pecos,31.4229,-103.4932,16.28,61,0,0.0,US,1675699595
193,svetlaya,46.5389,138.3297,-12.72,76,0,2.76,RU,1675699717
194,brae,60.3964,-1.353,8.45,80,100,9.51,GB,1675699717
195,flin flon,54.7682,-101.865,-2.09,93,100,4.63,CA,1675699717
196,lebu,-37.6167,-73.65,18.25,71,4,7.79,CL,1675699718
197,putai,46.6579,1.9863,7.66,70,71,4.73,FR,1675699718
198,nemuro,43.3236,145.575,-4.26,81,71,1.34,JP,1675699719
199,verkhnetulomskiy,68.6073,31.7962,-11.93,94,100,2.41,RU,1675699719
200,camacha,33.0833,-16.3333,14.68,55,40,8.75,PT,1675699202
201,bilibino,68.0546,166.4372,-36.43,100,100,0.61,RU,1675699719
202,itarema,-2.9248,-39.9167,29.48,64,85,5.57,BR,1675699720
203,taua,-5.9667,-40.3,31.64,42,72,4.12,BR,1675699720
204,sao joao da barra,-21.6403,-41.0511,32.05,74,61,2.35,BR,1675699721
205,san policarpo,12.1791,125.5072,26.3,81,49,5.49,PH,1675699721
206,opuwo,-18.0607,13.84,28.12,34,100,3.8,NA,1675699721
207,longyearbyen,78.2186,15.6401,1.91,87,75,5.14,SJ,1675699722
208,iranshahr,27.2025,60.6848,20.27,31,0,1.22,IR,1675699722
209,hit,33.6416,42.8251,16.32,34,0,5.0,IQ,1675699722
210,lavrentiya,65.5833,-171.0,-28.03,91,49,2.51,RU,1675699723
211,zavallya,48.2135,30.0156,-2.88,72,100,6.52,UA,1675699723
212,pemba,-12.974,40.5178,26.37,81,100,4.18,MZ,1675699724
213,ponta delgada,37.7333,-25.6667,14.4,94,75,1.54,PT,1675699724
214,gharo,24.7424,67.5856,25.12,49,0,4.41,PK,1675699724
215,sola,-13.8833,167.55,27.32,73,92,2.77,VU,1675699221
216,mehamn,71.0357,27.8492,1.97,93,100,13.38,NO,1675699660
217,shieli,44.1667,66.75,-0.85,85,77,2.77,KZ,1675699725
218,vadakku valliyur,8.3833,77.65,23.77,77,100,1.41,IN,1675699725
219,tiznit,29.5833,-9.5,15.77,30,42,6.17,MA,1675699727
220,pinawa,50.1489,-95.8811,-0.18,82,99,5.93,CA,1675699728
221,cherskiy,68.75,161.3,-38.44,100,100,2.56,RU,1675699728
222,pisco,-13.7,-76.2167,25.03,83,0,4.12,PE,1675699628
223,katsuura,35.1333,140.3,10.66,60,100,2.18,JP,1675699729
224,altay,47.8667,88.1167,-10.49,81,35,3.07,CN,1675699729
225,necochea,-38.5473,-58.7368,24.12,41,15,8.42,AR,1675699729
226,barguzin,53.6167,109.6167,-12.84,96,94,2.04,RU,1675699730
227,souillac,-20.5167,57.5167,26.1,82,65,5.31,MU,1675699730
228,buchanan,5.8808,-10.0467,29.35,66,60,4.97,LR,1675699540
229,ust-kuyga,70.0167,135.6,-42.6,99,98,1.82,RU,1675699731
230,pangai,-19.8,-174.35,26.39,80,91,4.88,TO,1675699731
231,quatre cocos,-20.2078,57.7625,27.27,80,87,5.57,MU,1675699732
232,kruisfontein,-34.0033,24.7314,22.68,86,46,5.9,ZA,1675699732
233,birin,26.8865,88.0718,9.18,66,33,1.65,NP,1675699733
234,tandil,-37.3217,-59.1332,31.56,30,6,4.29,AR,1675699733
235,timaru,-44.4,171.25,12.65,93,73,2.13,NZ,1675699733
236,salalah,17.0151,54.0924,25.05,65,0,2.06,OM,1675699438
237,patiya,22.2931,91.9762,16.12,65,3,0.33,BD,1675699734
